"tmp";"cmd_id";"value";"cmd_name";"device_name";"key";"id";"createdAt";"updatedAt"
2021-01-01 16:00:00;264;2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128980;;
2021-01-01 16:00:00;274;26;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131381;;
2021-01-01 16:15:00;264;2.4;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128981;;
2021-01-01 16:15:00;274;17;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131382;;
2021-01-01 16:30:00;274;10;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131383;;
2021-01-01 16:30:00;264;2.4;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128982;;
2021-01-01 16:45:00;264;2.3;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128983;;
2021-01-01 16:45:00;274;5;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131384;;
2021-01-01 17:00:00;274;2;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131385;;
2021-01-01 17:00:00;264;2.2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128984;;
2021-01-01 17:15:00;274;3;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131386;;
2021-01-01 17:15:00;264;1;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128985;;
2021-01-01 17:30:00;264;1;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128986;;
2021-01-01 17:30:00;274;0;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131387;;
2021-01-01 17:45:00;274;0;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131388;;
2021-01-01 17:45:00;264;0.9;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128987;;
